date,death,recover,comfirmed
5/1/20,68141,164015,1115946
5/2/20,69872,175382,1143296
5/3/20,71062,180152,1167593
38462,72442,187180,1191678
38492,74684,189791,1216209
38523,76998,189910,1240769
38553,78927,195036,1268180
38584,80690,198993,1295019
38615,82158,212534,1320155
38645,83136,216169,1339022
38676,84178,232733,1358293
38706,85777,230287,1381241
5/13/20,87504,243430,1401649
5/14/20,89300,246414,1428467
5/15/20,90968,250747,1453214
5/16/20,92166,268376,1477373
5/17/20,92987,272265,1495736
5/18/20,94214,283178,1518126
5/19/20,95670,289392,1539133
5/20/20,97171,294312,1561830
5/21/20,98356,298418,1587596
5/22/20,99573,350135,1611253
5/23/20,100663,361239,1632364
5/24/20,101302,366736,1652431
5/25/20,101894,379157,1671104
5/26/20,102571,384902,1690754
5/27/20,104034,391508,1709303
5/28/20,105135,399991,1731625
5/29/20,106268,406446,1756098
5/30/20,107222,416461,1779731
5/31/20,107837,444758,1798718
38737,108613,458231,1816154
38768,109594,463868,1837656
38796,110604,479258,1857511
38827,111617,485002,1879150
38857,112508,491706,1904550
38888,113150,500849,1925710
38918,113609,506367,1943626
38949,114116,518522,1961263
38980,115029,524855,1979647
39010,115905,533504,2000757
39041,116735,540292,2023890
39071,117564,547386,2048756
6/13/20,118299,556606,2073964
6/14/20,118643,561816,2092912
6/15/20,119039,576334,2112731
6/16/20,119853,583503,2136401
6/17/20,120592,592191,2163465
6/18/20,121281,599115,2191991
6/19/20,121910,606715,2223553
6/20/20,122469,617460,2255823
6/21/20,122786,622133,2280971
6/22/20,123193,640198,2313123
6/23/20,123941,647548,2350198
6/24/20,124678,656161,2386074
6/25/20,125215,663562,2426391
6/26/20,125844,670809,2472385
6/27/20,126347,679308,2513731
6/28/20,126665,685164,2554461
6/29/20,127050,705203,2595744
6/30/20,127603,720631,2642174
39102,128307,729994,2693993
39133,129020,781970,2750622
39161,129690,790404,2801983
39192,130005,894325,2847664
39222,130331,906763,2898432
39253,130707,924148,2941517
39283,131869,936476,3002171
39314,132694,953462,3062290
39345,133714,969111,3124786
39375,134531,983185,3192841
39406,135259,995576,3252874
39436,135731,1006326,3311312
7/13/20,136176,1031939,3370208
7/14/20,137104,1049098,3438244
7/15/20,138079,1075882,3506364
7/16/20,139035,1090645,3582184
7/17/20,139959,1107204,3654445
7/18/20,140816,1122720,3716980
7/19/20,141297,1131121,3777456
7/20/20,141860,1160087,3839546
7/21/20,142951,1182018,3904066
7/22/20,144175,1210849,3974630
7/23/20,145245,1233269,4043070
7/24/20,146352,1261624,4116393
7/25/20,147282,1279414,4181308
7/26/20,147813,1297863,4236083
7/27/20,148939,1325804,4292934
7/28/20,150269,1355363,4359391
7/29/20,151683,1389425,4431244
7/30/20,152914,1414155,4498701
7/31/20,154151,1438160,4567420
39467,155244,1461885,4623604
39498,155681,1468689,4669149
39527,156262,1513446,4714678
39558,157544,1528979,4773479
39588,158982,1577851,4827936
39619,160226,1598624,4887293
39649,161463,1623870,4946590
39680,162541,1643118,5000709
39711,163065,1656864,5046463
39741,163700,1670755,5094087
39772,164720,1714960,5142088
39802,166219,1753760,5198137
8/13/20,167286,1774648,5249451
8/14/20,168622,1796326,5314791
8/15/20,169622,1818527,5361712
8/16/20,170239,1833067,5400904
8/17/20,170732,1865580,5437580
8/18/20,171958,1898159,5482614
8/19/20,173297,1925049,5529973
8/20/20,174400,1947035,5574013
8/21/20,175491,1965056,5622842
8/22/20,176400,1985484,5665887
8/23/20,176945,1997761,5700119
8/24/20,177418,2020774,5736641
8/25/20,178654,2053699,5777001
8/26/20,179820,2084465,5822167
8/27/20,180936,2101326,5867547
8/28/20,181913,2118367,5914395
8/29/20,182814,2140614,5957126
8/30/20,183268,2153939,5991507
8/31/20,183810,2184825,6026895
39833,184838,2202663,6068759
39864,185917,2231757,6109773
39892,186954,2266957,6153983
39923,187912,2283454,6204376
39953,188674,2302187,6247464
39984,189144,2315995,6278633
40014,189440,2333551,6302200
40045,189892,2359111,6329593
40076,191052,2387479,6363650
40106,191968,2403511,6399723
40137,193142,2417878,6447501
40167,193844,2434658,6488563
9/13/20,194279,2451406,6522914
9/14/20,194710,2474570,6557342
9/15/20,195910,2495127,6596849
9/16/20,196866,2525573,6635867
9/17/20,197727,2540334,6681004
9/18/20,198623,2556465,6730288
9/19/20,199355,2577446,6772447
9/20/20,199620,2590671,6810862
9/21/20,200047,2615949,6862834
9/22/20,201079,2646959,6902696
9/23/20,202135,2670256,6941758
9/24/20,203032,2710183,6988869
9/25/20,203976,2727335,7037151
9/26/20,204744,2750459,7081803
9/27/20,205059,2766280,7119311
9/28/20,205417,2794608,7152546
9/29/20,206251,2813305,7195994
9/30/20,207209,2840688,7235428
